station_id,lat,lon,rmse,r2,mae,MAPE Max,MAPE Snow Duration,RMSE Daily,MAE Daily,MAPE Daily,NSE Daily,Correlation Coefficient R,Bias Daily,PBIAS Daily
ALE-05BF824P,50.63138961791992,-115.2794418334961,146.71562031809935,0.25268867111450777,116.33744613599767,33.505596865450556,22.515827376455555,140.71877832725966,109.21949450865212,46.56556770698937,0.36290330047956887,0.8858920145252418,-108.8795453452412,40.99700791081934
BCE-2B08P,50.434173583984375,-117.70121765136719,466.4038885029716,-0.2333098313876727,388.11822879132677,55.46137765369883,15.52338840507312,464.80570218244674,386.5783868239636,62.180819455455364,-0.2288369126480152,0.9114462289366053,-386.5220045176633,58.99745403652459
BCE-4B15P,54.19683074951172,-126.3041000366211,43.67275592275232,0.8652515892214232,32.52598665664559,15.708751003814974,19.793617795584407,45.04277861765587,33.30198737621178,32.15265026516734,0.8645982887106193,0.9583723705049623,-27.988151378920882,15.040085496030251
BCE-1A02P,53.3060417175293,-120.31925964355469,122.49959983951078,0.5656730784971198,99.9023209172388,22.433985319836776,19.429185596486324,127.62470787012064,103.642026057719,57.81868180766744,0.5199923130256872,0.9235675814014457,85.25765648894726,-28.598666300219595
BCE-3B17P,49.704139709472656,-125.67925262451172,409.3136218299205,0.4980982527900155,319.4894827448979,27.534592557280295,11.391714841512997,402.00859242261754,312.5130221430514,44.7541805276448,0.5213604769182074,0.9240794625982155,-312.4671056572271,37.54743891833897
YT-29AB-M3,60.52227020263672,-134.9527587890625,49.3265242769054,0.49785518184707667,37.72782296854217,24.668129534902405,13.253943547192659,49.320213680846145,37.72324427846872,53.03706725337162,0.4979214180599094,0.8814889941118481,31.173436004474105,-28.673476323296075
ALE-05BL812P,50.48591613769531,-114.9130859375,157.28568083299388,0.1447136613033585,126.66722773516233,43.41525238658788,21.637714799944064,152.85441071039668,120.28930910353431,49.18081040054172,0.24106534747567254,0.9329500864330643,-119.39970025655249,46.88236521668888
ALE-05AA809P,49.36109924316406,-114.51580047607422,252.87143996576663,-0.18725362853777372,204.5454962042427,49.587338064081806,26.86988104161622,233.56499737474152,177.93629303628,63.82337054168667,0.0692803435576188,0.8691602321091749,-177.82199560232007,58.15972390398171
YT-09DB-M1,63.98025894165039,-132.2977752685547,62.04106749180371,0.43192716055118396,51.269465414416075,21.39563538000994,11.53758193706755,64.2563653755755,53.14586404193424,80.77560578277533,0.37270563640860244,0.8571712224500774,43.37368081983854,-32.838454647574586
BCE-1A01P,52.906219482421875,-118.54750061035156,142.9555311000081,0.47405535755663075,118.56562727081628,29.66929016768769,9.398597620604656,144.0871393465907,118.12210369950964,37.78367863821962,0.49800966939976854,0.9533041146087,-117.4095056801907,34.55841275181122
BCE-1D19P,49.660831451416016,-121.66083526611328,477.90335686571615,0.41003679959774186,371.03673678754785,34.42485482635001,13.453611485135283,485.40431299195103,379.3205107862318,45.85907923300991,0.3799400758437763,0.9089891436385258,-364.8318148599871,39.66344864212612
ALE-05CA805P,51.54055404663086,-116.05638885498047,42.70715766714426,0.860408975174933,32.5031337199323,7.478589234810548,24.136177603394312,43.239283280938835,32.69170413982032,31.629539717290495,0.8671353296345536,0.9334805480209164,-5.701885863840642,2.7904145882429563
BCE-1A03P,53.05733871459961,-121.49182891845703,146.9382579449279,-0.3808340590392916,126.27016249087004,46.441961823319346,18.640239795111135,152.40518560537936,130.01152793431532,90.72317037126592,-0.45945257637846404,0.8973444493438213,129.94045122608418,-59.77415321263651
BCE-1F03P,50.44961166381836,-118.61856079101562,486.7155547620968,-1.4433229362413131,408.1756524225066,65.55652046270623,15.775369256890452,483.04811931710486,402.9896076550766,75.03193553335521,-1.3586436306229541,0.5544547176895224,-402.9896076550766,73.83153810917119
BCE-1F06P,51.40666580200195,-118.99972534179688,347.491317097515,-0.100252941193677,288.05895743595073,48.6757237605152,14.27987430394944,343.34233243768483,281.88190743897997,53.29404382416178,-0.03195333463785199,0.8696478852482928,-281.872963654449,50.61619420997204
BCE-1B08P,53.15250015258789,-126.88111114501953,424.4461924641968,-1.257555030451769,355.37391938182884,59.5937357611522,22.472687091652002,422.0185317510225,346.04228965387404,164.42275943307254,-1.1089898742524484,0.8643581601683864,334.40496175733597,-77.7395378731579
BCE-2D08P,50.63959884643555,-116.92973327636719,267.429504692564,0.3526930090026277,219.9255980529103,34.47128250830073,8.858944336219752,275.29678037626775,223.74500060632658,42.61101307066028,0.30925150465265805,0.9038489661817277,-223.03684178367476,39.74987793468346
BCE-2C09Q,49.44722366333008,-114.9749984741211,194.06521603504495,0.3305135786746929,145.20650537774014,43.80275904255771,15.802155264807926,187.92427517084099,137.33437928738283,48.51785336618457,0.39466527813984176,0.9278623440244604,-135.47206211167168,42.69200164231304
BCE-1B01P,53.72861099243164,-126.42361450195312,199.770278857236,0.13132961676462407,175.34902155764883,46.31225978279482,14.041966892223481,202.72860566877853,177.14514437969294,52.594522644754804,0.10564650838823975,0.9435948113079974,-176.84093330409345,47.91089917689951
BCE-1C41P,52.832008361816406,-121.35563659667969,294.44987823726024,0.0931759176553455,250.30962013245392,45.418056090719446,8.194105491004407,295.0652063913761,250.1845182558959,50.50046597481382,0.09749877936781948,0.9355273240754411,-250.1845182558959,47.56485523604527
BCE-1B02P,53.593055725097656,-127.64389038085938,317.4764115539969,0.6141370906504007,255.1966408918781,22.164308976929096,28.479173731666172,318.5165724428005,256.5814390970977,88.07881843802193,0.6107688634922577,0.9276066943056249,250.380502625743,-30.10143300423206
ALE-05DB802P,51.894195556640625,-115.38346862792969,77.7836861251619,-0.21292742964481137,56.39228824322882,56.65026141638512,28.442922218814864,74.83408937576945,53.76162817061768,61.298238084387954,-0.12928976085252986,0.6682688140108667,-52.679535478481476,57.457140470786314
BCE-3A24P,51.77616882324219,-124.6218032836914,136.11442040020634,-0.7885255876203761,111.63860378103278,60.35422586642507,23.214059952877015,134.1855069273208,107.62621641361474,79.20248249358372,-0.5551181242383283,0.91459561934571,102.24435225875183,-55.42711451257206
BCE-1E10P,52.20333480834961,-120.0169448852539,237.38013526928916,0.42344175388172756,181.98354755108437,31.7610984018591,12.446657057376507,234.43316369596263,178.18806795229375,42.10016266513374,0.45043610620625896,0.8885136651840079,-173.10530656900875,34.72154143986133
BCE-2F05P,49.944671630859375,-118.94969940185547,204.10305780903653,-0.24424797975486667,169.56218872083747,50.439948252722125,inf,201.14658017017226,165.25464266761747,55.80518999724414,-0.15523554783281335,0.8366779693410068,-165.25029479452203,53.538310953346766
ALE-05BB803P,51.08333206176758,-115.78333282470703,225.93029924140166,-0.1403544098036118,191.670769844193,51.781190777212636,23.329469801926084,222.07989052286672,186.22178338724456,59.903669207576506,-0.06915762102275069,0.9398061931447105,-186.19879068513566,56.500052229140415
BCE-1A17P,53.78422164916992,-120.37519836425781,197.80609697686177,0.693160802528163,150.30322604155768,25.97422530482462,16.57708519562256,194.53844488703606,145.9946779262981,28.01367769121858,0.7145047004651051,0.9694405334953257,-140.69205416413058,25.222597930911117
BCE-1C12P,50.795631408691406,-122.92454528808594,123.22180084725407,0.800854857120259,93.02111226124386,13.831361654853744,18.02164794898556,123.00682546824375,92.81402474107315,51.48967200725352,0.8010338838728495,0.9141288649885888,49.837232080390244,-10.860304737780343
