station_id,lat,lon,rmse,r2,mae,MAPE Max,MAPE Snow Duration,RMSE Daily,MAE Daily,MAPE Daily,NSE Daily,Correlation Coefficient R,Bias Daily,PBIAS Daily
ALE-05BF824P,50.63138961791992,-115.2794418334961,125.04069340316529,0.4651465969120204,79.1313235284239,12.283580711713988,25.31341582275088,122.3818174749591,76.4573994253033,32.553587155656075,0.5112638042767141,0.7902962107984832,-30.00559757432071,11.00064124081621
BCE-2B08P,50.434173583984375,-117.70121765136719,543.069117065845,-0.657637127631256,412.98746101008203,55.28201802276656,20.266273616408302,540.9682500205453,411.04100616979775,60.25780047344783,-0.6504045421148168,0.5540315721938571,-410.8477444211346,63.36627463428519
BCE-4B15P,54.19683074951172,-126.3041000366211,97.09092219765455,0.3338382675839435,59.93112780779836,15.031626655268312,23.009083282867586,103.81930854087534,62.259279939943724,39.39076768249129,0.2773704404686209,0.6558757617418558,-26.088360190650878,14.182622498958263
BCE-1A02P,53.3060417175293,-120.31925964355469,209.4823623958271,-0.2636210262630736,152.09297960881955,43.68945540560449,24.37175062726407,210.0223511879544,153.64040536003859,52.37034554577347,-0.2944308933613111,0.6334976366120685,-153.61088453562937,52.20543613085833
BCE-3B17P,49.704139709472656,-125.67925262451172,586.9343214609142,-0.025367626766351625,405.10826199161994,36.026335547198656,14.757920076021058,575.9008469264165,395.35656277569046,49.1083206315179,0.019882634044940617,0.6879029908975268,-391.54111843367554,47.14536241619262
YT-29AB-M3,60.52227020263672,-134.9527587890625,92.65216339783176,-0.7959048689630903,70.31803241440392,60.05046803130254,10.225764630379608,92.64841928925776,70.32115615404125,62.18593938045899,-0.7959596838607936,0.48838154674380785,-70.19816006708473,64.88130991605536
ALE-05BL812P,50.48591613769531,-114.9130859375,198.0089359305001,-0.3450068064665939,140.07075007455308,47.96511640920858,27.57458404137867,191.90717790323842,132.67561255501087,51.192763644922366,-0.19113417025579604,0.6071240684285603,-131.39757362889404,51.96676023579235
ALE-05AA809P,49.36109924316406,-114.51580047607422,208.25433608316106,0.1982650884604935,130.55480606012853,24.61832665929794,inf,199.4075225419103,123.17975319803352,48.669269610106106,0.31370310614913166,0.6945808183012654,-93.4203737416874,29.915623818098975
YT-09DB-M1,63.98025894165039,-132.2977752685547,76.80295578882077,0.12774049915592334,53.26383056780608,41.062763155629796,10.13289206997688,78.9935994667273,55.89021758663827,44.242179386799734,0.05003897489133846,0.6803596368105019,-52.07481025747129,39.77248282892255
BCE-1A01P,52.906219482421875,-118.54750061035156,271.91719795778164,-0.8803824286887318,220.03021638986579,58.33472833411114,11.595662611796568,274.80952462839576,218.81657376309923,64.91410601458671,-0.8094407480239463,0.58389147917509,-218.80735276690183,64.77979166713315
BCE-1D19P,49.660831451416016,-121.66083526611328,340.9542007837452,0.699648743603636,235.6688491144956,14.11451800861277,inf,358.54220613289385,250.01987534414963,43.50952132891296,0.6608193567048273,0.8436030684405582,-134.54110786748535,14.708159745854196
ALE-05CA805P,51.54055404663086,-116.05638885498047,80.61999295306377,0.505871731509554,66.42795717436896,23.85021394253759,28.902998916904814,78.79531236493958,64.23674217747966,41.73904329302033,0.5587753623956531,0.9193752978278666,46.82904811199705,-23.222976045888714
BCE-1A03P,53.05733871459961,-121.49182891845703,126.48332300690922,-0.025484461265094183,102.91221345112181,20.97197606048255,26.426552308596357,125.41122302416025,101.78705926418903,55.757926778791834,0.007927265590789379,0.7096831232787575,34.99183743521376,-16.263649789609133
BCE-1F03P,50.44961166381836,-118.61856079101562,379.4684409362947,-0.5054476513223725,249.40565075480706,29.57108707474524,17.450870392579912,376.3462848526228,246.19561747557617,43.75761913356202,-0.45080370180025153,0.4813806907842717,-232.06736973510942,42.486809015948666
BCE-1F06P,51.40666580200195,-118.99972534179688,237.54690570695473,0.4851329581072855,170.19947358461707,7.32930167279642,16.44179284176566,234.1394262230933,166.55994480912034,37.37405931845702,0.5184518557036359,0.7877391938053472,-20.82375426242629,3.7674974405930977
BCE-1B08P,53.15250015258789,-126.88111114501953,191.4393059727018,0.5390384974436593,141.94602553956403,24.826567649412315,16.71010910112704,185.71491296254533,136.12208487367897,44.15865941477794,0.588948593740398,0.8487082522625283,26.251312223716287,-6.148567671755211
BCE-2D08P,50.63959884643555,-116.92973327636719,174.47553629126236,0.723984644758999,113.11628877683229,10.413054592175016,10.969906503388524,188.5174494467278,120.68325123906573,28.43516177078963,0.6757297292194246,0.8532254234087484,-65.0146527910675,11.712885032416095
BCE-2C09Q,49.44722366333008,-114.9749984741211,284.9916959244666,-0.46508036571972067,195.74154159309796,51.19443658677098,19.100405580521322,276.01533589171527,185.1054685331004,57.72960691357542,-0.3274712605748469,0.5113446237226345,-183.5084177848671,58.43150253652249
BCE-1B01P,53.72861099243164,-126.42361450195312,116.76468949857836,0.7053625837975401,91.63584243282523,21.40939476021622,12.390558849396669,123.53645294821968,95.38790632281612,37.121023447069305,0.6698336222192021,0.8963157699522682,45.21726629653348,-12.365509374920048
BCE-1C41P,52.832008361816406,-121.35563659667969,298.4107960158203,0.07979931950696151,195.67262038031961,29.445504700312842,9.768759114924903,304.0078119491402,201.36953124289164,39.0032758848631,0.05135739441983733,0.6913154649906511,-198.63039242671246,38.19112219059543
BCE-1B02P,53.593055725097656,-127.64389038085938,190.45638142559164,0.8620274928144227,147.38540960970235,7.370060618115391,3.533592132760254,191.2414252163454,148.4077119586594,29.111785829330746,0.8607650304909882,0.9302479865450438,11.478963959840273,-1.382535884615829
ALE-05DB802P,51.894195556640625,-115.38346862792969,101.80536308191803,-1.0863949353775153,75.61820148508667,69.65074352742397,33.47253931136907,97.7131611938235,71.24696530725409,73.18623688732198,-0.9355761803976965,0.25910560870185095,-70.32867043267781,77.25925723402398
BCE-3A24P,51.77616882324219,-124.6218032836914,168.91677946638828,-1.739264607020237,139.1685258998318,60.79793696452829,15.710883317151861,162.73412435409185,130.79535924851083,70.555793629533,-1.288723896497991,0.43457323533859477,-130.7465321350173,71.43300206999126
BCE-1E10P,52.20333480834961,-120.0169448852539,262.67195224719165,0.3010931256978747,148.69315574961647,15.460264533648912,17.19058895947195,266.0558151831666,151.69333832098883,36.61593789001903,0.29527176084049,0.6858748589960357,-104.06497395089066,21.141935166603083
BCE-2F05P,49.944671630859375,-118.94969940185547,216.26190685324252,-0.3785716623952209,144.32376763931876,24.15046615927226,13.308429882407898,213.0055831767202,140.66392156241633,45.42550270550119,-0.2822599549287603,0.46312321740937207,-105.9583948203681,34.68850187219758
ALE-05BB803P,51.08333206176758,-115.78333282470703,207.94526777861986,0.03159427634299661,131.5976978002369,28.62134051055964,29.995683296919466,203.78236022566585,127.61645011332327,40.60468320189592,0.09896608878870938,0.6683630315864665,-123.16935490080546,37.3529394130404
