station_id,lat,lon,rmse,r2,mae,MAPE Max,MAPE Snow Duration,RMSE Daily,MAE Daily,MAPE Daily,NSE Daily,Correlation Coefficient R,Bias Daily,PBIAS Daily,obs_elevation,wrf_elevation,elevation_diff,elevation_abs_diff
ALE-05BF824P,50.63138961791992,-115.2794418334961,125.04069340316528,0.4651465969120204,79.1313235284239,12.283580711713988,25.31341582275088,122.3818174749591,76.4573994253033,32.553587155656075,0.5112638042767141,0.7902962107984832,-30.00559757432071,11.00064124081621,2160.0,2267.441650390625,107.441650390625,107.441650390625
BCE-2B08P,50.434173583984375,-117.7012176513672,543.069117065845,-0.657637127631256,412.987461010082,55.28201802276656,20.266273616408306,540.9682500205453,411.04100616979775,60.25780047344783,-0.6504045421148168,0.5540315721938571,-410.8477444211346,63.36627463428519,1800.0,1798.82958984375,-1.17041015625,1.17041015625
BCE-4B15P,54.19683074951172,-126.3041000366211,97.09092219765456,0.3338382675839435,59.93112780779836,15.031626655268312,23.009083282867586,103.81930854087534,62.25927993994373,39.39076768249129,0.2773704404686209,0.6558757617418558,-26.08836019065088,14.182622498958263,1300.0,1333.545166015625,33.545166015625,33.545166015625
BCE-1A02P,53.3060417175293,-120.31925964355467,209.4823623958271,-0.2636210262630736,152.09297960881955,43.68945540560449,24.37175062726407,210.0223511879544,153.6404053600386,52.37034554577347,-0.2944308933613111,0.6334976366120685,-153.61088453562937,52.20543613085833,1610.0,1505.8876953125,-104.1123046875,104.1123046875
BCE-3B17P,49.704139709472656,-125.67925262451172,586.9343214609142,-0.0253676267663516,405.10826199162,36.026335547198656,14.757920076021058,575.9008469264165,395.35656277569046,49.1083206315179,0.0198826340449406,0.6879029908975268,-391.54111843367554,47.14536241619262,1490.0,1342.177978515625,-147.822021484375,147.822021484375
YT-29AB-M3,60.52227020263672,-134.9527587890625,92.65216339783176,-0.7959048689630903,70.31803241440392,60.05046803130254,10.225764630379608,92.64841928925776,70.32115615404125,62.18593938045899,-0.7959596838607936,0.4883815467438078,-70.19816006708473,64.88130991605536,851.5,840.1783447265625,-11.3216552734375,11.3216552734375
ALE-05BL812P,50.48591613769531,-114.9130859375,198.0089359305001,-0.3450068064665939,140.07075007455308,47.96511640920858,27.57458404137867,191.9071779032384,132.67561255501087,51.192763644922366,-0.191134170255796,0.6071240684285603,-131.39757362889404,51.96676023579235,2060.0,2173.020751953125,113.020751953125,113.020751953125
ALE-05AA809P,49.36109924316406,-114.51580047607422,208.25433608316104,0.1982650884604935,130.55480606012853,24.61832665929794,inf,199.4075225419103,123.17975319803352,48.669269610106106,0.3137031061491316,0.6945808183012654,-93.4203737416874,29.91562381809897,1970.0,1840.262451171875,-129.737548828125,129.737548828125
YT-09DB-M1,63.98025894165039,-132.2977752685547,76.80295578882077,0.1277404991559233,53.26383056780608,41.0627631556298,10.13289206997688,78.9935994667273,55.89021758663827,44.24217938679973,0.0500389748913384,0.6803596368105019,-52.07481025747129,39.77248282892255,963.7999877929688,1149.232666015625,185.43267822265625,185.43267822265625
BCE-1A01P,52.90621948242188,-118.54750061035156,271.91719795778164,-0.8803824286887318,220.03021638986576,58.33472833411114,11.595662611796568,274.80952462839576,218.81657376309923,64.91410601458671,-0.8094407480239463,0.58389147917509,-218.80735276690183,64.77979166713315,1860.0,1793.9207763671875,-66.0792236328125,66.0792236328125
