station_id,lat,lon,rmse,r2,mae,MAPE Max,MAPE Snow Duration,RMSE Daily,MAE Daily,MAPE Daily,NSE Daily,Correlation Coefficient R,Bias Daily,PBIAS Daily
ALE-05BF824P,50.63138961791992,-115.2794418334961,274.2989123551996,-1.6124381586187537,227.47041453030656,73.67872922225818,27.89835310294792,262.71894040456857,211.38190197854303,78.75473297122937,-1.2208490307313604,0.5347890144367288,-211.32227871548943,79.56708737340179
BCE-2B08P,50.434173583984375,-117.70121765136719,633.2380358060059,-1.2734619730926653,519.2998798504666,72.21422155087804,17.56379061677794,630.8688266517204,516.8503914444095,79.17083075619175,-1.263782052359649,0.5793502003136611,-516.849717635063,78.88164940647002
BCE-4B15P,54.19683074951172,-126.3041000366211,183.51284328126155,-1.3785311089119525,150.53023534383053,69.33093613433893,31.89574630466675,184.2562788135386,148.8644230656645,81.76580714498239,-1.2651320560916894,0.47785358688210466,-148.86402695742487,79.98862505068828
BCE-1A02P,53.3060417175293,-120.31925964355469,67.21184295774508,0.8692636599144259,52.93216838596879,9.80484766141841,18.260390653302107,83.83213338201132,60.71032855629706,31.272885426525303,0.7929125698421725,0.9262712532330385,24.01011089894388,-8.052628036700908
BCE-3B17P,49.704139709472656,-125.67925262451172,864.3496284623509,-1.2378841340153737,708.3854573504809,75.26682348710158,16.102840289138506,845.4723453044251,684.7557934049602,81.91347244223397,-1.1167892602320748,0.653781711802024,-684.7457890121012,82.26638235781726
YT-29AB-M3,60.52227020263672,-134.9527587890625,71.51927040283866,-0.05535439821326871,51.72183529143486,31.44534845954345,9.954620950727051,71.54077843453435,51.744605229943375,50.8095152754095,-0.05612046081884259,0.6655665983695624,-48.340906726894204,44.45983691403389
ALE-05BL812P,50.48591613769531,-114.9130859375,251.856574902397,-1.193204498611451,204.8537466745312,73.32852983514799,26.287116333668465,244.51698752960226,193.78827558748796,74.31545126476678,-0.94214790024499,0.6076886472388033,-193.618761021871,76.01476425283035
ALE-05AA809P,49.36109924316406,-114.51580047607422,387.7226121044431,-1.791423301552539,321.76830595236197,82.4872149332435,32.121602982817336,348.9593294036671,269.4675412168075,87.40094994617905,-1.077639467115059,0.5972323984605621,-269.4445732782559,88.12308998276502
YT-09DB-M1,63.98025894165039,-132.2977752685547,40.136205094737626,0.7622984793516955,31.130859283101028,8.991838324725515,9.937101536745809,44.816491007989384,33.93433992329397,51.35476806751771,0.694905996511132,0.8678031318667996,15.20505929914486,-11.51173524296913
BCE-1A01P,52.906219482421875,-118.54750061035156,258.7467628898476,-0.7228269514166907,216.94589807631567,57.91322890581777,7.131047169802801,258.8996168545324,213.89519894717736,62.8647003897539,-0.6204996391360889,0.8079394895067162,-213.77921654165573,62.91450786841575
BCE-1D19P,49.660831451416016,-121.66083526611328,1056.1663602886822,-1.8803187728893902,866.6435024539996,84.79229703430757,35.625790644732255,1034.8693228972386,846.03391369352,89.96392604521213,-1.8174008552993652,0.3066938307603365,-845.9623439143378,91.98494268938845
ALE-05CA805P,51.54055404663086,-116.05638885498047,122.26634952184918,-0.1437804250296144,101.26689024191154,48.20400783311043,31.2961786132309,119.35136856810531,97.34412345334339,47.36691123359274,-0.011998938797668002,0.8920699234748494,-96.47539982081433,47.211605721884
